Strain,Dominance,Special,Brand,Product,Also Known As,,Variant,Parent1,Parent1%,Parent2,Parent2%,Parent3,Parent3%,Parent4,Parent4%,Parent5,Parent5%,Parent6,Parent6%,,notes,Breeder,Origin,Treated,Cannabinoids,Terpenes,General comments
Forum Cut Cookies,,,,,,,Girl Scout Cookies,,,,,,,,,,,,,,,,,,,,
French Toast ,,,,,,,,Paris OG,,Face On Fire,,,,,,,,,,,,,,,,,
Frosted Lemon Angel,,ex NZ Medical,Helius,Helius Dusk (discontinued),,,Frosted Lemon Cake,,,,,,,,,,,,,,,,Denmark,,"THC 25%, CBD <1%",,
Frosted Lemon Cake,,,,,,,,Lemon OG,,Sherbert,,,,,,,,,,,,,,,,,
Fuel,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
G13,,,,,,,Afghan/Pakistan Indica Landraces,,,,,,,,,,,,,,,,,,,,
G13 Haze,,,,,,,,G13,,Hawaiian Sativa Landraces,,,,,,,,,,,,,,,,,
Galaxy Walker,,ex NZ Medical,Tilray,Tilray THC22 (GW) (discontinued),,,,OG Kush,,Skywalker,,,,,,,,,,,,,,,"THC 22%, CBD <1%",,
Gary Payton,,,,,,,,The Y,,Snowman,,,,,,,,,,,,,,,,,
Gastro Pop,,,shane,,,,,Grape Gasoline,,Apples & Bananas,,,,,,,,,,,,,,,,,
Gelato,,,,,,,,Thin Mint Girl Scout Cookies,,Sherbert,,,,,,,,,,,,,,,,,
Gelato 25 ,,,,,,,Gelato,,,,,,,,,,,,,,,,,,,,
Gelato 33,,,,,"Larry Bird, Larry Bird Kush",,Gelato,,,,,,,,,,,,,,,,,,,,
Gelato 41,,,,,,,Gelato,,,,,,,,,,,,,,,,,,,,
Gelato 42,,,,,,,Gelato,,,,,,,,,,,,,,,,,,,,
Gelato 45,,,,,,,Gelato,,,,,,,,,,,,,,,,,,,,
Gelatti,,,,,,,,Gelato 41,,Biscotti,,,,,,,,,,,,,,,,,
Genius ,,,,,,,Jack Herer,,,,,,,,,,,,,,,,,,,,
Ghost OG,,,,,,,OG Kush,,,,,,,,,,,,,,,ORGNKID ,,,,,
Ghost Train Haze,,,,,,,,Ghost OG,,Nevil's Wreck,,,,,,,,,,,,,,,,,
Girl Scout Cookies,,NZ Medical,Beacon Medical,Beacon GSC,GSC,,,F1 Durb,,OG Kush,,,,,,,,,,,,Jigga ,,,,,
GMO Cookies,,NZ Medical,Medleaf,Medleaf GSCx,"Garlic Cookies, GMO",,,Chemdawg D,,Forum Cut Cookies,,,,,,,,,,,,,,,,,
Golden Papaya,,,,,,,,Papaya,,Kosher Kush,,,,,,,,,,,,,,,,,
Golden Tiger,,,,,,,,Koh Chang Thai,,Hmong Thai,,Malawi,,,,,,,,,,,,,,,
Gooey,,,,,,,,Mexico Sativa Landraces,,Colombian Gold,,Thai Sativa Landraces,,Maui Wowie,,Cambodia Sativa Landraces,,,,,,,,,,,
GooeyRoc,,,,,,,,Gooey,,Rock Bud,,,,,,,,,,,,,,,,,
GooThunder,,,,,,,,Reeferman's Blue Thunder,,GooeyRoc,,,,,,,,,,,,,,,,,
Gorilla,,NZ Medical,Cannasouth,Cannasouth Cumulus/Calmana,,,Gorilla Glue,,,,,,,,,,,,,,,,New Zealand,Non-irradiated,"THC 17%, CBD <1%",,
Gorilla Glue,,,,,,,,Chem’s Sister,25.00%,Chocolate Diesel,50.00%,Sour Double,25.00%,,,,,,,,,,,,,,
Gorilla Glue #1,,,,,,,Gorilla Glue,,,,,,,,,,,,,,,,,,,,
Gorilla Glue #4,,NZ Medical,Medleaf,Medleaf GG#4,,,Gorilla Glue,,,,,,,,,,,,,,,,Canada,Non-irradiated,"THC 24%, CBD <1%",,
Granddaddy Purple,,,,,,,,Purple Urkle,,Big Bud,,,,,,,,,,,,,,,,,
Granite Haze,,,,,,,,Bear's Breath ,50.00%,Hubbabubbasmelloscope ,25.00%,Unknown Haze Strain,25.00%,,,,,,,,,,,,,,
